Symbol,Signal,Origin Price,Current Price,Distance %,RSI @ Origin,Current RSI,Pivot Time
RAJESHEXPO,🟢 BULLISH,103.92,103.92,0.0,33.8,33.8,2026-06-04 09:15:00+05:30
RITES,🟢 BULLISH,200.11,200.11,0.0,35.7,43.2,2026-06-02 09:15:00+05:30
CANFINHOME,🟢 BULLISH,816.55,816.5,0.01,26.2,45.2,2026-06-01 09:15:00+05:30
NCC,🟢 BULLISH,147.2,147.19,0.01,39.7,41.5,2026-06-03 15:15:00+05:30
CROMPTON,🟢 BULLISH,269.8,269.9,0.04,31.0,39.5,2026-06-03 11:15:00+05:30
SHREECEM,🟢 BULLISH,24510.0,24495.0,0.06,34.4,38.4,2026-06-03 10:15:00+05:30
SYNGENE,🟢 BULLISH,435.0,435.55,0.13,31.1,36.9,2026-06-03 11:15:00+05:30
LALPATHLAB,🟢 BULLISH,1558.5,1561.2,0.17,27.0,41.0,2026-06-02 12:15:00+05:30
DCMSHRIRAM,🟢 BULLISH,1025.7,1021.6,0.4,30.2,40.7,2026-06-02 10:15:00+05:30
RITES,🟢 BULLISH,199.31,200.11,0.4,36.5,43.2,2026-06-03 11:15:00+05:30
KARURVYSYA,🟢 BULLISH,285.85,284.5,0.47,38.5,41.8,2026-06-03 10:15:00+05:30
BAJAJHLDNG,🟢 BULLISH,10076.0,10127.0,0.51,28.8,37.9,2026-06-03 11:15:00+05:30
DRREDDY,🟢 BULLISH,1262.1,1268.7,0.52,30.6,42.5,2026-06-03 11:15:00+05:30
PIIND,🟢 BULLISH,2692.3,2707.5,0.56,32.3,43.0,2026-06-03 11:15:00+05:30
TVSMOTOR,🟢 BULLISH,3341.5,3362.5,0.63,33.4,51.9,2026-05-29 14:15:00+05:30
BLUEDART,🟢 BULLISH,4689.9,4720.0,0.64,27.7,45.4,2026-06-03 14:15:00+05:30
TATAPOWER,🟢 BULLISH,407.45,410.8,0.82,34.3,43.9,2026-06-03 11:15:00+05:30
CARBORUNIV,🟢 BULLISH,1020.0,1028.6,0.84,32.7,53.3,2026-05-29 15:15:00+05:30
FLUOROCHEM,🟢 BULLISH,3563.1,3594.2,0.87,30.8,38.7,2026-05-29 09:15:00+05:30
INDIACEM,🟢 BULLISH,380.65,384.0,0.88,25.0,46.1,2026-06-02 09:15:00+05:30
VGUARD,🟢 BULLISH,297.95,300.8,0.96,33.3,43.8,2026-06-03 11:15:00+05:30
TRIDENT,🟢 BULLISH,24.02,24.33,1.29,39.1,50.1,2026-06-03 11:15:00+05:30
WHIRLPOOL,🟢 BULLISH,819.25,808.65,1.29,38.2,38.0,2026-06-02 11:15:00+05:30
INDIACEM,🟢 BULLISH,378.75,384.0,1.39,29.0,46.1,2026-06-03 10:15:00+05:30
CENTRALBK,🟢 BULLISH,30.71,30.28,1.4,30.4,49.4,2026-05-29 14:15:00+05:30
IRFC,🟢 BULLISH,94.81,96.2,1.47,33.6,48.7,2026-06-03 11:15:00+05:30
KSCL,🟢 BULLISH,844.75,857.9,1.56,30.1,43.6,2026-06-03 09:15:00+05:30
GLENMARK,🟢 BULLISH,2146.4,2180.6,1.59,20.5,39.9,2026-06-02 11:15:00+05:30
ABFRL,🟢 BULLISH,60.1,61.1,1.66,21.6,39.7,2026-06-03 11:15:00+05:30
IDBI,🟢 BULLISH,71.75,72.98,1.71,36.3,49.3,2026-06-03 11:15:00+05:30
TVSMOTOR,🟢 BULLISH,3304.0,3362.5,1.77,33.4,51.9,2026-06-02 09:15:00+05:30
CONCOR,🟢 BULLISH,446.25,454.55,1.86,25.5,45.6,2026-06-03 11:15:00+05:30
